TRANSACTION_DATE,Revised_Company_Name,REPORTER_NAME,BUYER_NAME,BUYER_STATE,QUANTITY,REPORTER_DEA_NO,BUYER_DEA_NO,DRUG_NAME,TRANSACTION_CODE,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_ID
06/30/2013,SUN PHARMA GLOBAL INC,MCKESSON CORPORATION,QUALITY CARE PHARMACY #1825 (OH),OH,210,R252088,B862078,BUPRENORPHINE,X,GM,T,OF2755015,0,30,44957
08/07/2013,RHODES TECHNOLOGIES,MORRIS & DICKSON CO LLC,WALMART PHARMACY #2043 (NH),NH,328,R250657,B118806,CODEINE,S,MCG,S,OF3074626,0,5,47724
11/24/2010,QUALITEST PHARMACEUTICALS,DIRECT RX,HOMETOWN PHARMACY #1587 (ID),ID,141,R294056,B842508,FENTANYL,X,GM,S,OF3789039,0,30,46189
03/13/2014,AMNEAL PHARMACEUTICALS LLC,AMERISOURCEBERGEN DRUG CORP,WALGREENS #6656 (TN),TN,247,R434869,B971797,CODEINE,X,GM,T,OF7934417,0,15,16208
12/19/2013,IMPAX LABORATORIES INC,AMERISOURCEBERGEN DRUG CORP,WINN-DIXIE PHARMACY #8011 (OR),OR,66,R870090,B315324,OXYMORPHONE,X,ML,S,OF5707686,0,80,48046
07/31/2012,LANNETT COMPANY INC,BELLCO DRUG CORP,HOMETOWN PHARMACY #5569 (NC),NC,182,R351061,B839308,MORPHINE,X,GM,S,OF4336441,0,5,25840
10/29/2009,ABBOTT LABORATORIES,NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #8405 (VA),VA,47,R125557,B197334,BUPRENORPHINE,T,GM,T,OF8592189,0,10,36630
07/07/2013,JANSSEN PHARMACEUTICALS INC,DAKOTA DRUG INC,PUBLIX PHARMACY #2055 (NC),NC,109,R588603,B933901,HYDROCODONE,P,ML,T,OF1287182,0,80,47739
11/19/2009,QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,HOMETOWN PHARMACY #1142 (NE),NE,142,R107977,B181668,OXYMORPHONE,X,ML,S,OF5510835,0,10,3273
01/28/2009,MYLAN PHARMACEUTICALS INC,DAKOTA DRUG INC,WALGREENS #4384 (NY),NY,573,R858023,B822429,MORPHINE,S,MCG,S,OF8980005,0,30,1866
11/06/2011,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,WALMART PHARMACY #8242 (NJ),NJ,1236,R492890,B819123,OXYCODONE,T,MCG,S,OF3523542,0,30,654
01/25/2007,LANNETT COMPANY INC,KINRAY LLC,KROGER PHARMACY #4000 (NY),NY,74,R750422,B867403,OXYCODONE,P,ML,T,OF7643715,0,40,28110
10/31/2010,HIKMA PHARMACEUTICALS,AMERISOURCEBERGEN DRUG CORP,WALMART PHARMACY #1108 (WV),WV,48,R704715,B569041,OXYMORPHONE,T,MCG,S,OF8659022,0,40,9975
04/08/2012,PAR PHARMACEUTICAL INC,ANDA INC,RITE AID #6549 (IN),IN,378,R808308,B215715,BUPRENORPHINE,S,GM,T,OF6561191,0,10,21080
01/19/2014,PAR PHARMACEUTICAL INC,HENRY SCHEIN INC,QUALITY CARE PHARMACY #6874 (MI),MI,947,R448726,B918683,OXYCODONE,P,ML,S,OF6120295,0,40,16188
08/27/2009,PURDUE PHARMA LP,MORRIS & DICKSON CO LLC,COMMUNITY PHARMACY #9734 (IN),IN,691,R438001,B738506,BUPRENORPHINE,S,ML,S,OF5490818,0,40,14359
11/25/2009,MYLAN PHARMACEUTICALS INC,BELLCO DRUG CORP,WALMART PHARMACY #5800 (MT),MT,335,R520767,B668894,BUPRENORPHINE,P,ML,T,OF1710014,0,80,30201
02/16/2011,QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,CVS PHARMACY #6085 (IN),IN,153,R774280,B105748,FENTANYL,P,MCG,T,OF2882137,0,40,17523
12/25/2009,RHODES TECHNOLOGIES,PRESCRIPTION SUPPLY INC,WALGREENS #6656 (TN),TN,354,R444159,B613591,MORPHINE,T,MCG,T,OF5300185,0,40,221
01/22/2014,QUALITEST PHARMACEUTICALS,HENRY SCHEIN INC,COMMUNITY PHARMACY #9030 (GA),GA,335,R789465,B604248,OXYCODONE,X,GM,T,OF4834587,0,5,9744
11/22/2010,WATSON LABORATORIES INC,DAKOTA DRUG INC,MAIN STREET PHARMACY #1667 (MI),MI,322,R163425,B345749,FENTANYL,S,ML,S,OF8720706,0,15,39909
03/04/2012,HIKMA PHARMACEUTICALS,DIRECT RX,KROGER PHARMACY #8280 (OH),OH,767,R100490,B711127,OXYCODONE,X,ML,S,OF8410757,0,80,14720
03/16/2010,PAR PHARMACEUTICAL INC,GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #7243 (WV),WV,40,R759518,B735404,MORPHINE,T,MCG,T,OF5946772,0,5,21714
07/23/2012,PAR PHARMACEUTICAL INC,KINRAY LLC,MEDICO PHARMACY #2700 (ID),ID,265,R648973,B704656,HYDROCODONE,S,ML,T,OF1748908,0,10,45269
08/28/2011,IMPAX LABORATORIES INC,KEYSOURCE MEDICAL INC,MAIN STREET PHARMACY #9148 (LA),LA,209,R358316,B815607,HYDROCODONE,T,GM,T,OF5917322,0,40,19589
03/28/2014,SUN PHARMA GLOBAL INC,DIRECT RX,PUBLIX PHARMACY #3067 (WI),WI,67,R184536,B844592,OXYMORPHONE,S,ML,S,OF1447417,0,10,17442
07/20/2012,HIKMA PHARMACEUTICALS,HENRY SCHEIN INC,VILLAGE PHARMACY #9964 (OH),OH,197,R642683,B780764,OXYCODONE,P,ML,T,OF1920448,0,20,11592
06/05/2013,SANDOZ INC,GULF COAST MEDICAL SUPPLY,CVS PHARMACY #5446 (LA),LA,45,R531523,B117130,METHADONE,T,GM,S,OF3374432,0,40,22039
10/27/2010,AMNEAL PHARMACEUTICALS LLC,KINRAY LLC,WALMART PHARMACY #6240 (NC),NC,45,R321357,B662227,MORPHINE,P,MCG,T,OF1370632,0,10,32343
11/19/2010,ABBOTT LABORATORIES,DIRECT RX,COMMUNITY PHARMACY #2995 (MA),MA,357,R661714,B715354,OXYMORPHONE,T,MCG,T,OF7379553,0,20,3677
05/08/2011,PURDUE PHARMA LP,SMITH DRUG COMPANY,PUBLIX PHARMACY #1146 (CO),CO,339,R338425,B817181,OXYCODONE,T,ML,T,OF9461302,0,40,25051
07/20/2010,VINTAGE PHARMACEUTICALS LLC,DIRECT RX,MEDICO PHARMACY #9056 (NY),NY,104,R238364,B656594,FENTANYL,P,ML,T,OF4539383,0,30,30478
04/26/2008,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,FAMILY CARE PHARMACY #8561 (NM),NM,3148,R868690,B317993,BUPRENORPHINE,P,ML,T,OF6760425,0,5,15146
11/04/2007,PURDUE PHARMA LP,MORRIS & DICKSON CO LLC,CORNER DRUG STORE #4406 (KY),KY,113,R118572,B254677,MORPHINE,X,ML,S,OF7795539,0,10,5104
09/25/2013,IMPAX LABORATORIES INC,KINRAY LLC,CORNER DRUG STORE #7216 (CO),CO,236,R478374,B505954,MORPHINE,T,MCG,S,OF9393161,0,80,20959
03/20/2011,MALLINCKRODT LLC,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #6683 (OH),OH,83,R325672,B612840,FENTANYL,S,GM,T,OF4493246,0,40,5020
02/25/2011,SANDOZ INC,DAKOTA DRUG INC,PUBLIX PHARMACY #1949 (PA),PA,423,R251593,B883438,CODEINE,T,ML,S,OF7276682,0,30,2210
08/14/2013,AMNEAL PHARMACEUTICALS LLC,VALUEDRUGCO,WALGREENS #7870 (SD),SD,309,R801373,B820922,BUPRENORPHINE,P,GM,T,OF9440995,0,10,47089
11/23/2009,WATSON LABORATORIES INC,AMERISOURCEBERGEN DRUG CORP,VILLAGE PHARMACY #6277 (OH),OH,178,R357366,B178065,MORPHINE,T,MCG,S,OF8712251,0,15,13226
03/20/2009,VINTAGE PHARMACEUTICALS LLC,SMITH DRUG COMPANY,GOOD NEIGHBOR PHARMACY #3396 (IN),IN,529,R122022,B397461,OXYMORPHONE,P,GM,S,OF8415802,0,30,10971
02/21/2011,ABBOTT LABORATORIES,ANDA INC,RITE AID #3495 (IL),IL,595,R367877,B229229,METHADONE,X,ML,S,OF1208506,0,5,36811
01/02/2014,LANNETT COMPANY INC,GULF COAST MEDICAL SUPPLY,KROGER PHARMACY #7855 (MI),MI,48,R394689,B233746,FENTANYL,S,MCG,T,OF7467419,0,10,31236
02/23/2009,WATSON LABORATORIES INC,MIAMI-LUKEN INC,COMMUNITY PHARMACY #4559 (VT),VT,595,R967485,B893522,HYDROCODONE,X,ML,S,OF4914581,0,30,30238
01/24/2012,CADISTA PHARMACEUTICALS INC,CARDINAL HEALTH INC,HEALTH MART PHARMACY #4870 (AR),AR,964,R541147,B475089,BUPRENORPHINE,T,ML,T,OF9364381,0,15,21632
02/03/2014,JANSSEN PHARMACEUTICALS INC,KINRAY LLC,SUNRISE PHARMACY #8440 (TN),TN,173,R244443,B652482,BUPRENORPHINE,X,GM,T,OF7397536,0,30,29769
01/23/2011,LANNETT COMPANY INC,PENN PHARMACEUTICAL SERVICES INC,COMMUNITY PHARMACY #5644 (RI),RI,107,R419545,B733710,OXYCODONE,S,GM,S,OF7305572,0,10,7011
03/15/2011,MALLINCKRODT LLC,PENN PHARMACEUTICAL SERVICES INC,KROGER PHARMACY #3100 (MI),MI,422,R694542,B943623,CODEINE,S,ML,S,OF2646019,0,40,14601
08/15/2010,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,WALGREENS #7427 (WY),WY,1945,R747656,B339932,OXYCODONE,P,MCG,T,OF3776286,0,20,44824
04/07/2008,JANSSEN PHARMACEUTICALS INC,KINRAY LLC,MEDICO PHARMACY #2927 (MI),MI,20000,R477413,B321012,MORPHINE,X,MCG,S,OF6002509,0,10,13374
06/06/2013,ENDO PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #2055 (NC),NC,201,R895673,B752542,BUPRENORPHINE,S,ML,S,OF2687032,0,20,2457
03/08/2013,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,FAMILY CARE PHARMACY #6977 (NC),NC,136,R120482,B686258,FENTANYL,X,GM,T,OF5277559,0,5,13470
05/20/2013,IMPAX LABORATORIES INC,KINRAY LLC,GOOD NEIGHBOR PHARMACY #2494 (WV),WV,880,R225906,B348035,FENTANYL,T,GM,T,OF1465271,0,15,43445
02/17/2008,TEVA PHARMACEUTICALS USA INC,MORRIS & DICKSON CO LLC,PUBLIX PHARMACY #8281 (UT),UT,100,R366659,B639753,BUPRENORPHINE,S,MCG,T,OF2403478,0,20,22474
04/03/2011,ABBOTT LABORATORIES,KINRAY LLC,CVS PHARMACY #5523 (NY),NY,259,R757109,B601878,CODEINE,X,MCG,S,OF7732377,0,30,16355
06/22/2012,HIKMA PHARMACEUTICALS,KEYSOURCE MEDICAL INC,KROGER PHARMACY #1497 (PA),PA,14,R751547,B947979,HYDROCODONE,S,GM,S,OF3786608,0,40,43506
04/24/2009,ABBOTT LABORATORIES,GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #4501 (WV),WV,703,R520081,B680451,METHADONE,S,MCG,S,OF5787481,0,10,43253
10/07/2009,SANDOZ INC,NATIONAL WHOLESALE DRUG CO INC,WINN-DIXIE PHARMACY #3650 (MT),MT,1499,R304613,B481634,MORPHINE,P,GM,T,OF9000700,0,30,4113
12/01/2010,MYLAN PHARMACEUTICALS INC,DIRECT RX,WINN-DIXIE PHARMACY #1883 (IN),IN,2035,R267154,B784352,FENTANYL,P,GM,S,OF9494571,0,30,47153
11/06/2012,PAR PHARMACEUTICAL INC,PRESCRIPTION SUPPLY INC,MAIN STREET PHARMACY #4716 (MS),MS,151,R360998,B405095,OXYMORPHONE,S,ML,S,OF9716175,0,10,17667
11/05/2009,JANSSEN PHARMACEUTICALS INC,VALUEDRUGCO,PEOPLES PHARMACY #6007 (WV),WV,123,R367005,B456784,METHADONE,S,GM,S,OF6120311,0,5,29352
09/07/2007,ENDO PHARMACEUTICALS INC,DIRECT RX,HOMETOWN PHARMACY #3177 (NH),NH,59,R646556,B619341,CODEINE,X,GM,T,OF3649866,0,80,22951
09/25/2010,ACTAVIS PHARMA INC,BELLCO DRUG CORP,GOOD NEIGHBOR PHARMACY #6272 (NC),NC,1132,R404533,B965756,BUPRENORPHINE,X,MCG,T,OF4004559,0,80,16652
11/02/2013,RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,CVS PHARMACY #2572 (VT),VT,1045,R793517,B848089,CODEINE,X,MCG,T,OF9794067,0,30,37801
08/29/2009,MALLINCKRODT LLC,MCKESSON CORPORATION,CVS PHARMACY #6838 (TN),TN,269,R791952,B285507,MORPHINE,S,ML,T,OF5207394,0,5,17302
10/20/2012,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,HEALTH MART PHARMACY #5158 (AL),AL,441,R914821,B213737,METHADONE,P,MCG,T,OF8455262,0,40,28154
09/17/2014,IMPAX LABORATORIES INC,BELLCO DRUG CORP,GOOD NEIGHBOR PHARMACY #8896 (PA),PA,86,R858112,B374866,BUPRENORPHINE,T,MCG,T,OF4774832,0,15,8695
01/18/2011,ENDO PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,WALGREENS #6424 (DE),DE,59,R734911,B343408,MORPHINE,P,ML,T,OF4548750,0,10,48284
04/27/2012,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,CVS PHARMACY #5635 (IN),IN,543,R691413,B609449,FENTANYL,X,ML,S,OF4645876,0,40,14795
06/02/2010,QUALITEST PHARMACEUTICALS,MCKESSON CORPORATION,HARRIS TEETER PHARMACY #4306 (PA),PA,430,R120953,B203277,HYDROCODONE,S,ML,S,OF9445040,0,40,17668
11/03/2008,ABBOTT LABORATORIES,PRESCRIPTION SUPPLY INC,MEDICO PHARMACY #9378 (TN),TN,82,R523350,B479792,HYDROCODONE,S,ML,T,OF9286752,0,5,21971
05/12/2009,RHODES TECHNOLOGIES,DIRECT RX,HEALTH MART PHARMACY #9064 (MN),MN,91,R326816,B932294,METHADONE,S,GM,S,OF7493383,0,30,15262
03/14/2013,CADISTA PHARMACEUTICALS INC,DIRECT RX,MAIN STREET PHARMACY #5646 (FL),FL,77,R721577,B917053,CODEINE,S,ML,T,OF9528238,0,40,47594
12/05/2012,ABBOTT LABORATORIES,SMITH DRUG COMPANY,WALMART PHARMACY #2539 (MI),MI,112,R517743,B159654,METHADONE,P,MCG,T,OF4348610,0,80,16123
08/23/2011,QUALITEST PHARMACEUTICALS,MCKESSON CORPORATION,VILLAGE PHARMACY #7158 (OH),OH,994,R181496,B937276,HYDROCODONE,P,MCG,T,OF5091963,0,5,48017
03/10/2007,QUALITEST PHARMACEUTICALS,VALUEDRUGCO,WINN-DIXIE PHARMACY #1912 (OH),OH,96,R403079,B194865,BUPRENORPHINE,T,ML,S,OF1249412,0,5,16886
04/06/2010,PURDUE PHARMA LP,ANDA INC,PEOPLES PHARMACY #6594 (KY),KY,146,R345957,B354493,MORPHINE,T,ML,S,OF4964974,0,30,18460
06/08/2010,AMNEAL PHARMACEUTICALS LLC,ANDA INC,HOMETOWN PHARMACY #3177 (NH),NH,261,R312656,B408601,METHADONE,P,ML,T,OF3660556,0,5,35450
10/21/2010,QUALITEST PHARMACEUTICALS,PENN PHARMACEUTICAL SERVICES INC,HOMETOWN PHARMACY #8707 (WV),WV,215,R607984,B294683,HYDROCODONE,X,ML,S,OF6727967,0,80,6734
04/06/2011,SANDOZ INC,PRESCRIPTION SUPPLY INC,MAIN STREET PHARMACY #5756 (WY),WY,1029,R339696,B361292,HYDROCODONE,T,ML,T,OF6276321,0,15,3203
09/30/2009,SANDOZ INC,HD SMITH WHOLESALE DRUG CO,QUALITY CARE PHARMACY #6890 (SC),SC,391,R900586,B689665,HYDROCODONE,P,GM,T,OF7748270,0,15,28562
07/08/2014,AMNEAL PHARMACEUTICALS LLC,HENRY SCHEIN INC,WINN-DIXIE PHARMACY #1823 (NE),NE,90,R240501,B179924,OXYCODONE,S,ML,S,OF8278292,0,15,18676
06/14/2013,PAR PHARMACEUTICAL INC,AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #9427 (IN),IN,500,R334553,B151671,METHADONE,X,GM,T,OF2148625,0,80,48663
07/13/2013,RHODES TECHNOLOGIES,MORRIS & DICKSON CO LLC,HEALTH MART PHARMACY #8815 (OH),OH,2669,R965160,B909224,HYDROCODONE,P,MCG,S,OF4232234,0,80,24230
03/10/2011,ACTAVIS PHARMA INC,GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #8469 (NC),NC,962,R336061,B364056,MORPHINE,S,ML,T,OF1262013,0,15,18960
12/05/2010,VINTAGE PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,HOMETOWN PHARMACY #6061 (MI),MI,74,R833049,B527012,BUPRENORPHINE,S,ML,T,OF7805674,0,80,44406
10/24/2009,VINTAGE PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #8653 (MI),MI,810,R827929,B724094,METHADONE,X,ML,S,OF6439759,0,30,37797
10/27/2008,ENDO PHARMACEUTICALS INC,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #8019 (KY),KY,42,R735654,B467614,MORPHINE,X,GM,S,OF3511238,0,30,9593
05/26/2010,JANSSEN PHARMACEUTICALS INC,HENRY SCHEIN INC,CVS PHARMACY #6838 (TN),TN,61,R736139,B274260,CODEINE,P,MCG,T,OF9241979,0,10,37013
08/20/2008,SUN PHARMA GLOBAL INC,MCKESSON CORPORATION,MAIN STREET PHARMACY #9550 (WV),WV,314,R912888,B742495,HYDROCODONE,P,GM,S,OF4345147,0,20,37038
02/17/2012,SANDOZ INC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #1697 (MI),MI,218,R159592,B353512,OXYMORPHONE,T,MCG,T,OF4651968,0,20,36490
09/10/2010,VINTAGE PHARMACEUTICALS LLC,SMITH DRUG COMPANY,PEOPLES PHARMACY #4297 (TN),TN,271,R731570,B616692,BUPRENORPHINE,S,GM,S,OF3347552,0,80,44660
06/12/2013,MYLAN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,HARRIS TEETER PHARMACY #8108 (VA),VA,177,R907048,B131361,HYDROCODONE,T,MCG,S,OF7391532,0,40,46889
06/11/2008,PAR PHARMACEUTICAL INC,GULF COAST MEDICAL SUPPLY,COMMUNITY PHARMACY #9334 (IN),IN,527,R792123,B592176,MORPHINE,P,GM,S,OF9963422,0,20,17345
10/21/2013,AMNEAL PHARMACEUTICALS LLC,DIRECT RX,PEOPLES PHARMACY #8932 (PA),PA,49,R758969,B323319,METHADONE,T,ML,S,OF7489028,0,40,1909
02/23/2009,PAR PHARMACEUTICAL INC,KINRAY LLC,WALGREENS #9697 (VA),VA,181,R292690,B815957,FENTANYL,T,MCG,T,OF7256564,0,80,18707
10/25/2013,ENDO PHARMACEUTICALS INC,MCKESSON CORPORATION,WINN-DIXIE PHARMACY #8561 (LA),LA,75,R344077,B718665,CODEINE,P,ML,T,OF8059350,0,40,833
12/01/2013,MALLINCKRODT LLC,KEYSOURCE MEDICAL INC,CORNER DRUG STORE #2632 (NV),NV,190,R637361,B657273,BUPRENORPHINE,P,MCG,S,OF9280014,0,5,43831
05/13/2008,MYLAN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,CORNER DRUG STORE #1213 (TN),TN,37,R113280,B642133,FENTANYL,T,MCG,T,OF3332047,0,10,21561
10/05/2010,PAR PHARMACEUTICAL INC,MCKESSON CORPORATION,VILLAGE PHARMACY #3392 (NY),NY,20000,R989510,B890157,OXYMORPHONE,S,ML,T,OF4223481,0,10,37659
04/12/2012,QUALITEST PHARMACEUTICALS,HENRY SCHEIN INC,QUALITY CARE PHARMACY #6874 (MI),MI,164,R796927,B946185,CODEINE,T,GM,T,OF2325354,0,40,17396
10/18/2012,PAR PHARMACEUTICAL INC,PRESCRIPTION SUPPLY INC,PEOPLES PHARMACY #6489 (NJ),NJ,243,R260031,B325467,CODEINE,T,MCG,S,OF1178209,0,30,3877
09/14/2011,LANNETT COMPANY INC,NATIONAL WHOLESALE DRUG CO INC,QUALITY CARE PHARMACY #3071 (KY),KY,415,R879362,B679017,CODEINE,P,GM,S,OF7833375,0,30,41892
04/11/2011,HIKMA PHARMACEUTICALS,HENRY SCHEIN INC,KROGER PHARMACY #4710 (NH),NH,100,R992593,B599405,OXYMORPHONE,P,MCG,S,OF5265126,0,30,15094
02/13/2008,RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #4300 (VA),VA,422,R431185,B833080,METHADONE,X,ML,T,OF8996555,0,15,41548
04/21/2012,QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,CVS PHARMACY #5105 (TN),TN,41,R531349,B447988,BUPRENORPHINE,X,MCG,T,OF6733354,0,30,32254
12/18/2010,QUALITEST PHARMACEUTICALS,SMITH DRUG COMPANY,QUALITY CARE PHARMACY #6847 (WV),WV,350,R714210,B754126,FENTANYL,T,GM,S,OF1634925,0,15,9299
05/16/2009,WATSON LABORATORIES INC,DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #2962 (NM),NM,354,R440572,B479765,OXYCODONE,T,GM,S,OF3964535,0,20,40528
02/03/2011,HIKMA PHARMACEUTICALS,VALUEDRUGCO,CVS PHARMACY #1738 (DE),DE,178,R402181,B961523,MORPHINE,S,MCG,T,OF5594820,0,80,43906
05/21/2011,TEVA PHARMACEUTICALS USA INC,PRESCRIPTION SUPPLY INC,MEDICO PHARMACY #5137 (MN),MN,33,R111251,B733016,METHADONE,T,ML,S,OF2056781,0,30,6413
12/22/2007,ENDO PHARMACEUTICALS INC,MCKESSON CORPORATION,VILLAGE PHARMACY #9199 (TX),TX,76,R143633,B895269,HYDROCODONE,S,MCG,S,OF6486308,0,15,3808
06/26/2011,SANDOZ INC,AMERISOURCEBERGEN DRUG CORP,MEDICO PHARMACY #1628 (FL),FL,98,R672080,B504839,FENTANYL,T,GM,S,OF1765466,0,80,45927
11/29/2010,VINTAGE PHARMACEUTICALS LLC,DAKOTA DRUG INC,HEALTH MART PHARMACY #5897 (AL),AL,118,R234504,B414507,MORPHINE,P,ML,S,OF4419944,0,40,43604
12/25/2011,LANNETT COMPANY INC,SMITH DRUG COMPANY,PUBLIX PHARMACY #1949 (PA),PA,730,R667576,B132871,OXYMORPHONE,T,MCG,S,OF2349781,0,30,46671
07/04/2013,SANDOZ INC,BELLCO DRUG CORP,KROGER PHARMACY #1887 (KY),KY,41,R677039,B925966,FENTANYL,P,MCG,S,OF2581281,0,40,36712
03/17/2013,JANSSEN PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,GOOD NEIGHBOR PHARMACY #4280 (AL),AL,69,R904527,B492079,MORPHINE,T,GM,S,OF4918155,0,15,19923
08/02/2008,ENDO PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,KROGER PHARMACY #1497 (PA),PA,220,R444182,B497992,HYDROCODONE,X,GM,T,OF5268339,0,10,45348
11/12/2008,CADISTA PHARMACEUTICALS INC,BELLCO DRUG CORP,COMMUNITY PHARMACY #6367 (UT),UT,131,R904471,B539601,METHADONE,T,GM,T,OF7643296,0,80,35454
04/25/2011,SANDOZ INC,DIRECT RX,MEDICO PHARMACY #4659 (ID),ID,402,R724690,B618411,OXYMORPHONE,S,GM,T,OF4173005,0,40,3440
05/23/2012,SANDOZ INC,MCKESSON CORPORATION,HARRIS TEETER PHARMACY #3685 (MA),MA,146,R166100,B693280,CODEINE,T,ML,S,OF4176515,0,40,6002
01/22/2009,VINTAGE PHARMACEUTICALS LLC,KINRAY LLC,HARRIS TEETER PHARMACY #9396 (VA),VA,14,R576486,B385824,OXYMORPHONE,T,GM,S,OF3103135,0,40,48403
06/29/2009,WATSON LABORATORIES INC,ANDA INC,WINN-DIXIE PHARMACY #1912 (OH),OH,120,R771364,B895206,BUPRENORPHINE,X,MCG,S,OF9299093,0,5,8248
04/08/2011,HIKMA PHARMACEUTICALS,BELLCO DRUG CORP,PEOPLES PHARMACY #4981 (WY),WY,168,R851755,B943723,CODEINE,P,GM,T,OF7358119,0,5,3982
02/02/2011,IMPAX LABORATORIES INC,SMITH DRUG COMPANY,CVS PHARMACY #1951 (MO),MO,1598,R904608,B967524,OXYMORPHONE,S,ML,T,OF4764983,0,20,34588
04/15/2007,MYLAN PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,COMMUNITY PHARMACY #3782 (NC),NC,281,R986189,B937283,OXYCODONE,S,GM,T,OF8565048,0,15,17900
03/30/2010,WATSON LABORATORIES INC,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #2549 (SC),SC,318,R762290,B421893,MORPHINE,P,ML,T,OF6564437,0,30,9238
11/09/2011,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,FAMILY CARE PHARMACY #2595 (OH),OH,76,R486986,B871763,HYDROCODONE,T,ML,S,OF4557190,0,5,11385
09/23/2007,TEVA PHARMACEUTICALS USA INC,PRESCRIPTION SUPPLY INC,MEDICO PHARMACY #1464 (KY),KY,71,R836166,B529108,FENTANYL,P,MCG,T,OF3258046,0,15,17059
10/09/2012,SANDOZ INC,BURLINGTON DRUG COMPANY INC,FAMILY CARE PHARMACY #4540 (UT),UT,241,R800417,B579511,FENTANYL,S,GM,T,OF1938008,0,30,44291
03/14/2014,RHODES TECHNOLOGIES,BURLINGTON DRUG COMPANY INC,PUBLIX PHARMACY #7101 (VA),VA,1494,R146459,B471447,OXYMORPHONE,T,ML,T,OF2673982,0,30,6879
08/18/2012,IMPAX LABORATORIES INC,MCKESSON CORPORATION,CVS PHARMACY #2897 (TX),TX,114,R116102,B864900,HYDROCODONE,X,MCG,S,OF8873646,0,10,47986
09/13/2013,PAR PHARMACEUTICAL INC,PENN PHARMACEUTICAL SERVICES INC,WALGREENS #8038 (IN),IN,24,R784819,B848862,OXYMORPHONE,X,GM,T,OF6595066,0,10,30898
01/23/2012,VINTAGE PHARMACEUTICALS LLC,ANDA INC,MEDICO PHARMACY #5392 (NC),NC,2231,R661889,B888821,OXYCODONE,P,GM,S,OF1803049,0,40,28744
09/29/2008,ENDO PHARMACEUTICALS INC,SMITH DRUG COMPANY,MEDICO PHARMACY #8138 (MD),MD,298,R190744,B499887,HYDROCODONE,X,MCG,S,OF4472009,0,20,8771
10/06/2009,ABBOTT LABORATORIES,BELLCO DRUG CORP,WINN-DIXIE PHARMACY #6652 (VT),VT,125,R172955,B106470,MORPHINE,T,GM,T,OF7243926,0,80,26503
10/10/2012,ABBOTT LABORATORIES,MCKESSON CORPORATION,RITE AID #9491 (IN),IN,79,R573709,B159400,OXYCODONE,S,MCG,T,OF6410459,0,10,24137
12/15/2012,MYLAN PHARMACEUTICALS INC,VALUEDRUGCO,MAIN STREET PHARMACY #9305 (AZ),AZ,297,R107086,B668172,METHADONE,T,ML,T,OF5434304,0,40,39256
10/31/2010,JANSSEN PHARMACEUTICALS INC,BELLCO DRUG CORP,HARRIS TEETER PHARMACY #7622 (RI),RI,852,R990828,B329066,HYDROCODONE,X,MCG,S,OF8081519,0,5,23618
04/18/2013,SUN PHARMA GLOBAL INC,PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #6466 (KY),KY,47,R703994,B950603,MORPHINE,S,ML,S,OF2662148,0,40,46001
09/05/2012,JANSSEN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #9066 (SC),SC,215,R559900,B907851,BUPRENORPHINE,S,ML,T,OF8617325,0,5,42048
