date,manufacturer,distributor,retailer,retailer_state,quantity,disruption_injected
2026-03-26,MYLAN PHARMACEUTICALS INC,HENRY SCHEIN INC,PUBLIX PHARMACY #2014 (PA),PA,148,0
2026-03-26,ABBOTT LABORATORIES,CARDINAL HEALTH INC,MEDICO PHARMACY #9596 (WI),WI,59,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #8577 (SD),SD,1461,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,FAMILY CARE PHARMACY #5152 (MI),MI,219,0
2026-03-26,ABBOTT LABORATORIES,DAKOTA DRUG INC,HARRIS TEETER PHARMACY #2399 (ID),ID,173,0
2026-03-26,PURDUE PHARMA LP,DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #2962 (NM),NM,271,0
2026-03-26,PAR PHARMACEUTICAL INC,GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #7321 (WY),WY,55,0
2026-03-26,MYLAN PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,PUBLIX PHARMACY #6658 (DE),DE,885,0
2026-03-26,SUN PHARMA GLOBAL INC,VALUEDRUGCO,WINN-DIXIE PHARMACY #6356 (UT),UT,173,0
2026-03-26,ACTAVIS PHARMA INC,HENRY SCHEIN INC,FAMILY CARE PHARMACY #2595 (OH),OH,90,0
2026-03-26,PURDUE PHARMA LP,DAKOTA DRUG INC,VILLAGE PHARMACY #4422 (MS),MS,47,0
2026-03-26,RHODES TECHNOLOGIES,MCKESSON CORPORATION,HOMETOWN PHARMACY #8152 (WV),WV,593,0
2026-03-26,RHODES TECHNOLOGIES,PENN PHARMACEUTICAL SERVICES INC,PEOPLES PHARMACY #7557 (OH),OH,132,0
2026-03-26,SUN PHARMA GLOBAL INC,KEYSOURCE MEDICAL INC,WALGREENS #9451 (NE),NE,65,0
2026-03-26,SANDOZ INC,ANDA INC,WINN-DIXIE PHARMACY #3113 (CO),CO,446,0
2026-03-26,MYLAN PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,MEDICO PHARMACY #7968 (WY),WY,1120,0
2026-03-26,SANDOZ INC,HENRY SCHEIN INC,GOOD NEIGHBOR PHARMACY #8540 (OH),OH,34,0
2026-03-26,RHODES TECHNOLOGIES,SMITH DRUG COMPANY,HOMETOWN PHARMACY #8707 (WV),WV,2501,0
2026-03-26,PURDUE PHARMA LP,DIRECT RX,PUBLIX PHARMACY #1993 (CO),CO,194,0
2026-03-26,WATSON LABORATORIES INC,SMITH DRUG COMPANY,HOMETOWN PHARMACY #8828 (WY),WY,471,0
2026-03-26,PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,GOOD NEIGHBOR PHARMACY #2848 (MT),MT,350,0
2026-03-26,MYLAN PHARMACEUTICALS INC,SMITH DRUG COMPANY,KROGER PHARMACY #5892 (NJ),NJ,1389,0
2026-03-26,RHODES TECHNOLOGIES,CARDINAL HEALTH INC,MEDICO PHARMACY #7420 (NM),NM,87,0
