date,manufacturer,distributor,retailer,retailer_state,quantity,manufacturer_enc,distributor_enc,retailer_enc,retailer_state_enc,tx_freq_per_pair,vol_concentration,month,year,day_of_week
2012-08-02,CADISTA PHARMACEUTICALS INC,CARDINAL HEALTH INC,QUALITY CARE PHARMACY #2679 (MT),MT,53,3,4,1372,25,2,0.0087,8,2012,3
2010-03-13,MALLINCKRODT LLC,MORRIS & DICKSON CO LLC,GOOD NEIGHBOR PHARMACY #6272 (NC),NC,443,9,14,465,26,11,0.2022,3,2010,5
2010-11-24,ABBOTT LABORATORIES,AMERISOURCEBERGEN DRUG CORP,HARRIS TEETER PHARMACY #1323 (ND),ND,58,0,0,517,27,1,0.1625,11,2010,2
2013-10-23,SUN PHARMA GLOBAL INC,NATIONAL WHOLESALE DRUG CO INC,WALGREENS #5306 (TN),TN,150,16,15,1823,41,5,0.0149,10,2013,2
2010-10-07,ABBOTT LABORATORIES,BELLCO DRUG CORP,FAMILY CARE PHARMACY #7641 (AL),AL,250,0,2,387,1,2,0.0111,10,2010,3
2009-07-22,RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,MAIN STREET PHARMACY #8777 (MI),MI,163,14,8,1038,21,2,0.0692,7,2009,2
2012-03-03,VINTAGE PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,WALGREENS #7531 (NY),NY,102,18,7,1853,33,3,0.031,3,2012,5
2012-01-03,VINTAGE PHARMACEUTICALS LLC,PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #4294 (PA),PA,428,18,16,1710,37,2,0.0129,1,2012,1
2011-07-20,AMNEAL PHARMACEUTICALS LLC,PRESCRIPTION SUPPLY INC,PEOPLES PHARMACY #9504 (KY),KY,336,2,17,1273,16,5,0.0038,7,2011,2
2012-02-25,QUALITEST PHARMACEUTICALS,AMERISOURCEBERGEN DRUG CORP,PEOPLES PHARMACY #2660 (NC),NC,4554,13,0,1190,26,9,0.0786,2,2012,5
2013-03-16,JANSSEN PHARMACEUTICALS INC,SMITH DRUG COMPANY,MAIN STREET PHARMACY #9148 (LA),LA,20000,7,18,1045,17,8,0.5513,3,2013,5
2009-09-27,PAR PHARMACEUTICAL INC,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #7031 (IL),IL,821,11,17,478,13,6,0.0742,9,2009,6
2008-05-22,IMPAX LABORATORIES INC,DIRECT RX,PEOPLES PHARMACY #4578 (MS),MS,49,6,6,1218,24,2,0.0068,5,2008,3
2007-02-08,ABBOTT LABORATORIES,MIAMI-LUKEN INC,COMMUNITY PHARMACY #7344 (LA),LA,562,0,13,70,17,3,0.0172,2,2007,3
2010-06-17,QUALITEST PHARMACEUTICALS,NATIONAL WHOLESALE DRUG CO INC,WINN-DIXIE PHARMACY #9193 (KY),KY,1503,13,15,2081,16,3,0.0589,6,2010,3
2009-02-03,SANDOZ INC,HD SMITH WHOLESALE DRUG CO,GOOD NEIGHBOR PHARMACY #2904 (CT),CT,53,15,8,425,6,4,0.0137,2,2009,1
2011-09-03,WATSON LABORATORIES INC,AMERISOURCEBERGEN DRUG CORP,PEOPLES PHARMACY #1397 (OH),OH,126,19,0,1172,34,5,0.0229,9,2011,5
2013-04-01,ACTAVIS PHARMA INC,DIRECT RX,CORNER DRUG STORE #4855 (RI),RI,634,1,6,138,38,1,0.0914,4,2013,0
2009-09-16,PAR PHARMACEUTICAL INC,GULF COAST MEDICAL SUPPLY,PUBLIX PHARMACY #1697 (MI),MI,1025,11,7,1285,21,7,0.0752,9,2009,2
2008-09-23,ABBOTT LABORATORIES,KINRAY LLC,HOMETOWN PHARMACY #5569 (NC),NC,154,0,11,782,26,9,0.0694,9,2008,1
2010-12-01,AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,SUNRISE PHARMACY #7649 (PA),PA,225,2,5,1630,37,4,0.0047,12,2010,2
2008-12-02,ENDO PHARMACEUTICALS INC,KINRAY LLC,WINN-DIXIE PHARMACY #7362 (HI),HI,167,4,11,2056,10,1,0.063,12,2008,1
2007-10-16,LANNETT COMPANY INC,HENRY SCHEIN INC,GOOD NEIGHBOR PHARMACY #2904 (CT),CT,220,8,9,425,6,2,0.0065,10,2007,1
2013-10-27,QUALITEST PHARMACEUTICALS,DIRECT RX,MEDICO PHARMACY #6633 (ID),ID,235,13,6,1113,12,2,0.1339,10,2013,6
2009-03-26,PAR PHARMACEUTICAL INC,HD SMITH WHOLESALE DRUG CO,COMMUNITY PHARMACY #9332 (IL),IL,49,11,8,86,13,1,0.0409,3,2009,3
2012-07-26,ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,KROGER PHARMACY #6580 (OH),OH,110,0,16,891,34,6,0.2943,7,2012,3
2013-11-19,HIKMA PHARMACEUTICALS,MORRIS & DICKSON CO LLC,FAMILY CARE PHARMACY #1847 (OH),OH,42,5,14,319,34,4,0.0082,11,2013,1
2008-08-11,HIKMA PHARMACEUTICALS,VALUEDRUGCO,PEOPLES PHARMACY #3759 (TN),TN,161,5,19,1206,41,5,0.0173,8,2008,0
2013-12-12,QUALITEST PHARMACEUTICALS,DAKOTA DRUG INC,HOMETOWN PHARMACY #2097 (OH),OH,683,13,5,737,34,3,0.0432,12,2013,3
2012-08-08,VINTAGE PHARMACEUTICALS LLC,KINRAY LLC,MAIN STREET PHARMACY #9550 (WV),WV,328,18,11,1049,48,6,0.0157,8,2012,2
2014-07-06,ABBOTT LABORATORIES,HD SMITH WHOLESALE DRUG CO,COMMUNITY PHARMACY #5731 (WV),WV,869,0,8,51,48,3,0.0158,7,2014,6
2010-06-02,HIKMA PHARMACEUTICALS,SMITH DRUG COMPANY,CORNER DRUG STORE #4123 (OH),OH,374,5,18,129,34,2,0.0894,6,2010,2
2011-07-11,SANDOZ INC,MORRIS & DICKSON CO LLC,KROGER PHARMACY #2900 (MI),MI,2078,15,14,854,21,6,0.0852,7,2011,0
2010-09-27,JANSSEN PHARMACEUTICALS INC,BELLCO DRUG CORP,CORNER DRUG STORE #8392 (NM),NM,204,7,2,176,31,2,0.0159,9,2010,0
2006-10-22,VINTAGE PHARMACEUTICALS LLC,DIRECT RX,COMMUNITY PHARMACY #4052 (OH),OH,676,18,6,30,34,3,0.0714,10,2006,6
2012-02-15,ACTAVIS PHARMA INC,VALUEDRUGCO,HEALTH MART PHARMACY #5178 (NV),NV,2717,1,19,665,32,1,0.318,2,2012,2
2014-03-21,QUALITEST PHARMACEUTICALS,CARDINAL HEALTH INC,HARRIS TEETER PHARMACY #6458 (CO),CO,20000,13,4,583,5,2,0.8061,3,2014,4
2011-09-17,VINTAGE PHARMACEUTICALS LLC,CARDINAL HEALTH INC,WALMART PHARMACY #9301 (NH),NH,256,18,4,1975,29,2,0.0487,9,2011,5
2012-02-04,TEVA PHARMACEUTICALS USA INC,KINRAY LLC,MAIN STREET PHARMACY #4485 (HI),HI,64,17,11,985,10,2,0.0571,2,2012,5
2014-05-04,AMNEAL PHARMACEUTICALS LLC,AMERISOURCEBERGEN DRUG CORP,PEOPLES PHARMACY #3726 (IN),IN,255,2,0,1205,14,2,0.1036,5,2014,6
2010-03-24,RHODES TECHNOLOGIES,CARDINAL HEALTH INC,CORNER DRUG STORE #3031 (NE),NE,20000,14,4,119,28,2,0.6135,3,2010,2
2012-03-20,PAR PHARMACEUTICAL INC,PENN PHARMACEUTICAL SERVICES INC,MEDICO PHARMACY #6767 (NC),NC,761,11,16,1115,26,6,0.0166,3,2012,1
2010-01-20,WATSON LABORATORIES INC,BELLCO DRUG CORP,CVS PHARMACY #6466 (KY),KY,61,19,2,264,16,6,0.0048,1,2010,2
2012-01-04,ACTAVIS PHARMA INC,HENRY SCHEIN INC,PEOPLES PHARMACY #6284 (NH),NH,105,1,9,1238,29,2,0.0059,1,2012,2
2013-02-23,AMNEAL PHARMACEUTICALS LLC,CARDINAL HEALTH INC,COMMUNITY PHARMACY #7241 (LA),LA,133,2,4,69,17,4,0.0146,2,2013,5
2013-06-10,SUN PHARMA GLOBAL INC,NATIONAL WHOLESALE DRUG CO INC,CORNER DRUG STORE #2806 (IA),IA,185,16,15,116,11,1,0.0915,6,2013,0
2011-05-28,WATSON LABORATORIES INC,MIAMI-LUKEN INC,VILLAGE PHARMACY #9112 (RI),RI,84,19,13,1761,38,1,0.0654,5,2011,5
2008-02-07,LANNETT COMPANY INC,PENN PHARMACEUTICAL SERVICES INC,MEDICO PHARMACY #6633 (ID),ID,987,8,16,1113,12,2,0.0686,2,2008,3
2014-02-08,CADISTA PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,HARRIS TEETER PHARMACY #7234 (WV),WV,76,3,7,591,48,9,0.0249,2,2014,5
2011-09-02,ABBOTT LABORATORIES,MCKESSON CORPORATION,FAMILY CARE PHARMACY #8450 (CO),CO,79,0,12,393,5,3,0.0086,9,2011,4
2013-01-07,PURDUE PHARMA LP,KINRAY LLC,MEDICO PHARMACY #9833 (TN),TN,204,12,11,1161,41,7,0.0636,1,2013,0
2012-01-20,ENDO PHARMACEUTICALS INC,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #6773 (OK),OK,1798,4,18,588,35,4,0.0676,1,2012,4
2010-08-28,CADISTA PHARMACEUTICALS INC,VALUEDRUGCO,SUNRISE PHARMACY #8787 (TN),TN,158,3,19,1644,41,6,0.0095,8,2010,5
2009-03-26,VINTAGE PHARMACEUTICALS LLC,PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #2076 (VA),VA,196,18,16,209,44,2,0.0449,3,2009,3
2010-07-27,MALLINCKRODT LLC,HENRY SCHEIN INC,WINN-DIXIE PHARMACY #1222 (LA),LA,235,9,9,1983,17,5,0.057,7,2010,1
2008-02-10,SUN PHARMA GLOBAL INC,CARDINAL HEALTH INC,RITE AID #6549 (IN),IN,81,16,4,1528,14,7,0.0016,2,2008,6
2010-11-13,SUN PHARMA GLOBAL INC,BELLCO DRUG CORP,COMMUNITY PHARMACY #7725 (ME),ME,43,16,2,72,20,2,0.0061,11,2010,5
2008-07-16,CADISTA PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,VILLAGE PHARMACY #2001 (NY),NY,1290,3,14,1676,33,2,0.1507,7,2008,2
2012-04-01,HIKMA PHARMACEUTICALS,DAKOTA DRUG INC,MAIN STREET PHARMACY #3359 (NH),NH,680,5,5,972,29,3,0.2828,4,2012,6
2011-05-19,ACTAVIS PHARMA INC,CARDINAL HEALTH INC,GOOD NEIGHBOR PHARMACY #5650 (PA),PA,1057,1,4,450,37,5,0.0824,5,2011,3
2014-05-01,JANSSEN PHARMACEUTICALS INC,BELLCO DRUG CORP,CVS PHARMACY #4032 (NM),NM,1482,7,2,238,31,1,0.3539,5,2014,3
2008-11-30,SUN PHARMA GLOBAL INC,HENRY SCHEIN INC,PEOPLES PHARMACY #4809 (WV),WV,760,16,9,1222,48,7,0.0394,11,2008,6
2012-02-21,IMPAX LABORATORIES INC,KINRAY LLC,QUALITY CARE PHARMACY #5232 (TN),TN,192,6,11,1406,41,1,0.0327,2,2012,1
2008-12-24,LANNETT COMPANY INC,MCKESSON CORPORATION,QUALITY CARE PHARMACY #6823 (IN),IN,334,8,12,1432,14,7,0.1235,12,2008,2
2011-11-09,CADISTA PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,PEOPLES PHARMACY #3668 (MI),MI,223,3,0,1203,21,4,0.0829,11,2011,2
2009-02-03,MYLAN PHARMACEUTICALS INC,ANDA INC,HARRIS TEETER PHARMACY #4474 (IN),IN,269,10,1,558,14,3,0.0808,2,2009,1
2011-09-07,LANNETT COMPANY INC,MCKESSON CORPORATION,CORNER DRUG STORE #8237 (VA),VA,426,8,12,174,44,4,0.0984,9,2011,2
2010-08-08,SUN PHARMA GLOBAL INC,VALUEDRUGCO,PUBLIX PHARMACY #1697 (MI),MI,618,16,19,1285,21,9,0.0055,8,2010,6
2008-08-14,SANDOZ INC,MCKESSON CORPORATION,COMMUNITY PHARMACY #6858 (LA),LA,79,15,12,62,17,6,0.0114,8,2008,3
2013-03-03,PURDUE PHARMA LP,BELLCO DRUG CORP,MEDICO PHARMACY #6767 (NC),NC,27,12,2,1115,26,8,0.0193,3,2013,6
2009-02-06,SUN PHARMA GLOBAL INC,BURLINGTON DRUG COMPANY INC,RITE AID #8167 (LA),LA,91,16,3,1543,17,4,0.0097,2,2009,4
2009-04-30,SUN PHARMA GLOBAL INC,GULF COAST MEDICAL SUPPLY,KROGER PHARMACY #1887 (KY),KY,297,16,7,840,16,6,0.0534,4,2009,3
2007-05-05,QUALITEST PHARMACEUTICALS,HD SMITH WHOLESALE DRUG CO,FAMILY CARE PHARMACY #6977 (NC),NC,23,13,8,382,26,5,0.0274,5,2007,5
2012-11-26,ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #6515 (MT),MT,465,0,16,1730,25,1,0.7983,11,2012,0
2013-09-13,HIKMA PHARMACEUTICALS,KEYSOURCE MEDICAL INC,PEOPLES PHARMACY #1839 (PA),PA,145,5,10,1182,37,6,0.0157,9,2013,4
2012-03-11,MALLINCKRODT LLC,NATIONAL WHOLESALE DRUG CO INC,PEOPLES PHARMACY #8932 (PA),PA,355,9,15,1269,37,6,0.1095,3,2012,6
2011-07-19,TEVA PHARMACEUTICALS USA INC,PRESCRIPTION SUPPLY INC,FAMILY CARE PHARMACY #5612 (LA),LA,2714,17,17,369,17,5,0.1008,7,2011,1
2009-02-12,SUN PHARMA GLOBAL INC,KINRAY LLC,SUNRISE PHARMACY #7702 (NC),NC,77,16,11,1631,26,4,0.0077,2,2009,3
2011-10-15,JANSSEN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,PUBLIX PHARMACY #7801 (ME),ME,326,7,14,1347,20,1,0.1039,10,2011,5
2011-07-19,SANDOZ INC,HD SMITH WHOLESALE DRUG CO,QUALITY CARE PHARMACY #2760 (MN),MN,116,15,8,1373,22,1,0.005,7,2011,1
2012-09-25,TEVA PHARMACEUTICALS USA INC,CARDINAL HEALTH INC,VILLAGE PHARMACY #6277 (OH),OH,281,17,4,1728,34,3,0.0262,9,2012,1
2012-01-24,MALLINCKRODT LLC,PRESCRIPTION SUPPLY INC,QUALITY CARE PHARMACY #4482 (RI),RI,317,9,17,1395,38,1,0.0779,1,2012,1
2010-02-28,LANNETT COMPANY INC,MIAMI-LUKEN INC,MEDICO PHARMACY #3617 (VA),VA,87,8,13,1082,44,5,0.0644,2,2010,6
2010-08-10,TEVA PHARMACEUTICALS USA INC,GULF COAST MEDICAL SUPPLY,VILLAGE PHARMACY #7158 (OH),OH,364,17,7,1737,34,3,0.0146,8,2010,1
2010-01-28,HIKMA PHARMACEUTICALS,SMITH DRUG COMPANY,GOOD NEIGHBOR PHARMACY #6129 (NC),NC,29,5,18,462,26,7,0.0527,1,2010,3
2013-10-26,WATSON LABORATORIES INC,MIAMI-LUKEN INC,FAMILY CARE PHARMACY #6977 (NC),NC,106,19,13,382,26,10,0.0079,10,2013,5
2010-01-03,TEVA PHARMACEUTICALS USA INC,KINRAY LLC,MEDICO PHARMACY #7770 (FL),FL,1028,17,11,1130,8,1,0.4177,1,2010,6
2009-05-31,ABBOTT LABORATORIES,MCKESSON CORPORATION,QUALITY CARE PHARMACY #9242 (KY),KY,2640,0,12,1466,16,3,0.1719,5,2009,6
2008-02-20,IMPAX LABORATORIES INC,PENN PHARMACEUTICAL SERVICES INC,HARRIS TEETER PHARMACY #7348 (TN),TN,267,6,16,595,41,2,0.0784,2,2008,2
2010-10-25,MALLINCKRODT LLC,KINRAY LLC,CORNER DRUG STORE #8278 (OR),OR,163,9,11,175,36,1,0.1021,10,2010,0
2012-10-30,SANDOZ INC,SMITH DRUG COMPANY,COMMUNITY PHARMACY #9741 (SC),SC,209,15,18,94,39,2,0.056,10,2012,1
2011-02-07,ACTAVIS PHARMA INC,CARDINAL HEALTH INC,WINN-DIXIE PHARMACY #8378 (VA),VA,781,1,4,2072,44,2,0.2497,2,2011,0
2008-07-27,PAR PHARMACEUTICAL INC,HENRY SCHEIN INC,SUNRISE PHARMACY #7916 (MT),MT,1055,11,9,1632,25,2,0.0503,7,2008,6
2014-04-11,AMNEAL PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,HARRIS TEETER PHARMACY #4474 (IN),IN,244,2,15,558,14,5,0.0085,4,2014,4
2011-12-19,LANNETT COMPANY INC,NATIONAL WHOLESALE DRUG CO INC,MEDICO PHARMACY #6745 (VA),VA,201,8,15,1114,44,4,0.0098,12,2011,0
2013-05-27,HIKMA PHARMACEUTICALS,DAKOTA DRUG INC,COMMUNITY PHARMACY #9734 (IN),IN,545,5,5,93,14,3,0.0985,5,2013,0
2010-09-03,AMNEAL PHARMACEUTICALS LLC,MCKESSON CORPORATION,WALMART PHARMACY #2370 (MA),MA,107,2,12,1902,18,1,0.0044,9,2010,4
2011-10-08,SANDOZ INC,AMERISOURCEBERGEN DRUG CORP,HEALTH MART PHARMACY #4578 (MN),MN,255,15,0,655,22,1,0.2859,10,2011,5
2012-05-13,CADISTA PHARMACEUTICALS INC,KINRAY LLC,HOMETOWN PHARMACY #8516 (LA),LA,330,3,11,812,17,1,0.0406,5,2012,6
2008-09-16,MYLAN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,PUBLIX PHARMACY #9368 (GA),GA,219,10,14,1356,9,1,0.1959,9,2008,1
2013-01-06,ENDO PHARMACEUTICALS INC,ANDA INC,HARRIS TEETER PHARMACY #7275 (IN),IN,1127,4,1,594,14,3,0.123,1,2013,6
2009-06-14,RHODES TECHNOLOGIES,BURLINGTON DRUG COMPANY INC,MAIN STREET PHARMACY #2887 (NY),NY,119,14,3,966,33,1,0.0092,6,2009,6
2011-02-24,AMNEAL PHARMACEUTICALS LLC,BURLINGTON DRUG COMPANY INC,HARRIS TEETER PHARMACY #6758 (NC),NC,41,2,3,587,26,11,0.0223,2,2011,3
2013-05-16,RHODES TECHNOLOGIES,BURLINGTON DRUG COMPANY INC,FAMILY CARE PHARMACY #9932 (MI),MI,268,14,3,405,21,6,0.0803,5,2013,3
2013-07-10,WATSON LABORATORIES INC,NATIONAL WHOLESALE DRUG CO INC,WALMART PHARMACY #1339 (NC),NC,536,19,15,1888,26,9,0.0674,7,2013,2
2013-09-06,RHODES TECHNOLOGIES,AMERISOURCEBERGEN DRUG CORP,RITE AID #6549 (IN),IN,315,14,0,1528,14,3,0.0558,9,2013,4
2011-06-06,JANSSEN PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,WINN-DIXIE PHARMACY #4694 (OH),OH,90526,7,10,2025,34,5,0.6966,6,2011,0
2011-04-04,SANDOZ INC,BURLINGTON DRUG COMPANY INC,COMMUNITY PHARMACY #2272 (ND),ND,1847,15,3,7,27,1,0.16,4,2011,0
2013-07-18,PURDUE PHARMA LP,DAKOTA DRUG INC,CORNER DRUG STORE #9561 (PA),PA,282,12,5,189,37,4,0.011,7,2013,3
2014-01-06,JANSSEN PHARMACEUTICALS INC,KINRAY LLC,MAIN STREET PHARMACY #6973 (LA),LA,1016,7,11,1015,17,4,0.0342,1,2014,0
2007-10-29,SANDOZ INC,AMERISOURCEBERGEN DRUG CORP,HEALTH MART PHARMACY #4585 (MI),MI,1970,15,0,656,21,4,0.0722,10,2007,0
2013-04-22,RHODES TECHNOLOGIES,DAKOTA DRUG INC,RITE AID #6549 (IN),IN,92,14,5,1528,14,3,0.0202,4,2013,0
2008-12-02,LANNETT COMPANY INC,SMITH DRUG COMPANY,GOOD NEIGHBOR PHARMACY #2494 (WV),WV,132,8,18,419,48,3,0.0152,12,2008,1
2012-02-28,QUALITEST PHARMACEUTICALS,HENRY SCHEIN INC,GOOD NEIGHBOR PHARMACY #3396 (IN),IN,26,13,9,431,14,6,0.1164,2,2012,1
2012-11-14,PAR PHARMACEUTICAL INC,KINRAY LLC,SUNRISE PHARMACY #5581 (TN),TN,243,11,11,1608,41,5,0.0071,11,2012,2
2013-12-07,VINTAGE PHARMACEUTICALS LLC,KEYSOURCE MEDICAL INC,COMMUNITY PHARMACY #7647 (MI),MI,122,18,10,71,21,5,0.0023,12,2013,5
2009-08-10,MYLAN PHARMACEUTICALS INC,BELLCO DRUG CORP,HARRIS TEETER PHARMACY #6758 (NC),NC,169,10,2,587,26,5,0.0215,8,2009,0
2010-11-08,AMNEAL PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #7855 (MI),MI,116,2,8,912,21,1,0.109,11,2010,0
2012-05-17,TEVA PHARMACEUTICALS USA INC,NATIONAL WHOLESALE DRUG CO INC,PEOPLES PHARMACY #3759 (TN),TN,352,17,15,1206,41,4,0.0165,5,2012,3
2014-05-06,MALLINCKRODT LLC,HD SMITH WHOLESALE DRUG CO,VILLAGE PHARMACY #1306 (NJ),NJ,97,9,8,1665,30,1,0.0731,5,2014,1
2011-01-18,VINTAGE PHARMACEUTICALS LLC,VALUEDRUGCO,PUBLIX PHARMACY #4560 (NM),NM,364,18,19,1316,31,1,0.0399,1,2011,1
2012-10-14,AMNEAL PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #9511 (IA),IA,1191,2,7,1654,11,1,0.28,10,2012,6
2011-05-24,PAR PHARMACEUTICAL INC,KINRAY LLC,FAMILY CARE PHARMACY #3467 (KY),KY,1893,11,11,339,16,6,0.0608,5,2011,1
2008-02-08,ENDO PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,CORNER DRUG STORE #5731 (IN),IN,752,4,0,145,14,3,0.0083,2,2008,4
2014-03-25,VINTAGE PHARMACEUTICALS LLC,DAKOTA DRUG INC,WALMART PHARMACY #5079 (LA),LA,66,18,5,1925,17,6,0.0378,3,2014,1
2010-10-24,VINTAGE PHARMACEUTICALS LLC,MORRIS & DICKSON CO LLC,WALGREENS #2082 (LA),LA,605,18,14,1782,17,3,0.056,10,2010,6
2009-09-17,JANSSEN PHARMACEUTICALS INC,DAKOTA DRUG INC,WALGREENS #3575 (OH),OH,20000,7,5,1798,34,5,0.2539,9,2009,3
2011-11-16,HIKMA PHARMACEUTICALS,HENRY SCHEIN INC,HEALTH MART PHARMACY #8894 (WI),WI,131,5,9,710,47,3,0.0294,11,2011,2
2012-12-26,SUN PHARMA GLOBAL INC,SMITH DRUG COMPANY,VILLAGE PHARMACY #4294 (PA),PA,182,16,18,1710,37,4,0.0271,12,2012,2
2009-08-11,PAR PHARMACEUTICAL INC,BURLINGTON DRUG COMPANY INC,COMMUNITY PHARMACY #8220 (VA),VA,43,11,3,79,44,1,0.2649,8,2009,1
2008-07-06,TEVA PHARMACEUTICALS USA INC,DIRECT RX,QUALITY CARE PHARMACY #5230 (NM),NM,2996,17,6,1405,31,2,0.4649,7,2008,6
2011-04-20,MALLINCKRODT LLC,ANDA INC,PEOPLES PHARMACY #5739 (CO),CO,37,9,1,1234,5,3,0.0178,4,2011,2
2010-05-26,LANNETT COMPANY INC,MORRIS & DICKSON CO LLC,MAIN STREET PHARMACY #8987 (ME),ME,193,8,14,1042,20,2,0.0339,5,2010,2
2012-08-30,PAR PHARMACEUTICAL INC,PENN PHARMACEUTICAL SERVICES INC,KROGER PHARMACY #2176 (NV),NV,42,11,16,845,32,3,0.0202,8,2012,3
2013-06-02,WATSON LABORATORIES INC,DIRECT RX,VILLAGE PHARMACY #7086 (IN),IN,124,19,6,1736,14,3,0.0155,6,2013,6
2013-06-19,HIKMA PHARMACEUTICALS,MCKESSON CORPORATION,PEOPLES PHARMACY #2093 (AR),AR,199,5,12,1184,2,2,0.0221,6,2013,2
2010-11-05,IMPAX LABORATORIES INC,VALUEDRUGCO,FAMILY CARE PHARMACY #7659 (ME),ME,845,6,19,388,20,2,0.2595,11,2010,4
2014-10-07,ABBOTT LABORATORIES,GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #6305 (MN),MN,68,0,7,790,22,1,0.0057,10,2014,1
2013-05-10,RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #6614 (PA),PA,328,14,8,892,37,4,0.0398,5,2013,4
2009-02-24,ABBOTT LABORATORIES,AMERISOURCEBERGEN DRUG CORP,COMMUNITY PHARMACY #7241 (LA),LA,141,0,0,69,17,4,0.0776,2,2009,1
2008-01-03,RHODES TECHNOLOGIES,DAKOTA DRUG INC,MAIN STREET PHARMACY #6441 (AR),AR,1053,14,5,1005,2,1,0.1623,1,2008,3
2009-07-13,CADISTA PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,GOOD NEIGHBOR PHARMACY #2790 (PA),PA,51,3,15,422,37,2,0.3298,7,2009,0
2008-01-29,MYLAN PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,PUBLIX PHARMACY #8283 (OH),OH,1857,10,17,1349,34,6,0.0474,1,2008,1
2010-06-26,TEVA PHARMACEUTICALS USA INC,DAKOTA DRUG INC,PEOPLES PHARMACY #6594 (KY),KY,79,17,5,1244,16,5,0.1259,6,2010,5
2010-04-09,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,CVS PHARMACY #9124 (OR),OR,104,4,13,300,36,2,0.0138,4,2010,4
2014-07-04,AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,WALGREENS #4534 (NM),NM,271,2,5,1812,31,2,0.0401,7,2014,4
2011-03-27,ENDO PHARMACEUTICALS INC,MCKESSON CORPORATION,QUALITY CARE PHARMACY #4985 (TN),TN,278,4,12,1403,41,4,0.2898,3,2011,6
2012-12-20,MALLINCKRODT LLC,CARDINAL HEALTH INC,HOMETOWN PHARMACY #8152 (WV),WV,1524,9,4,808,48,3,0.0863,12,2012,3
2011-03-30,MYLAN PHARMACEUTICALS INC,VALUEDRUGCO,GOOD NEIGHBOR PHARMACY #5937 (WY),WY,535,10,19,459,49,2,0.0821,3,2011,2
2011-10-15,MYLAN PHARMACEUTICALS INC,CARDINAL HEALTH INC,SUNRISE PHARMACY #4396 (HI),HI,27,10,4,1600,10,1,0.0012,10,2011,5
2010-09-10,PAR PHARMACEUTICAL INC,DIRECT RX,CVS PHARMACY #7158 (NE),NE,339,11,6,273,28,1,0.1148,9,2010,4
2011-10-25,SANDOZ INC,MORRIS & DICKSON CO LLC,WALGREENS #4408 (TN),TN,142,15,14,1811,41,4,0.103,10,2011,1
2009-10-11,PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,GOOD NEIGHBOR PHARMACY #3848 (DE),DE,274,12,15,435,7,1,0.0493,10,2009,6
2013-08-27,VINTAGE PHARMACEUTICALS LLC,CARDINAL HEALTH INC,QUALITY CARE PHARMACY #8930 (ID),ID,398,18,4,1464,12,1,0.0142,8,2013,1
2011-12-26,ENDO PHARMACEUTICALS INC,DIRECT RX,WALGREENS #7469 (WV),WV,1004,4,6,1852,48,9,0.0411,12,2011,0
2010-02-16,HIKMA PHARMACEUTICALS,DIRECT RX,SUNRISE PHARMACY #6542 (PA),PA,667,5,6,1618,37,3,0.0815,2,2010,1
2010-01-26,IMPAX LABORATORIES INC,BELLCO DRUG CORP,VILLAGE PHARMACY #1037 (MI),MI,403,6,2,1664,21,3,0.0375,1,2010,1
2009-02-07,ABBOTT LABORATORIES,MIAMI-LUKEN INC,VILLAGE PHARMACY #5786 (ME),ME,400,0,13,1724,20,2,0.0369,2,2009,5
2010-05-01,JANSSEN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,COMMUNITY PHARMACY #5731 (WV),WV,154,7,7,51,48,5,0.0325,5,2010,5
2013-01-13,ACTAVIS PHARMA INC,DIRECT RX,RITE AID #3713 (MT),MT,59,1,6,1508,25,2,0.0771,1,2013,6
